"antecedent","consequent","n","flow_time"
"G1 or G2","End",2714,0
"G1 or G2","G1 or G2",22484,6.68322870866902
"G1 or G2","G3",7949,9.39402979709937
"G1 or G2","G4 or G5",277,8.49819494584838
"G3","End",6393,0
"G3","G1 or G2",10829,10.6681002071158
"G3","G3",82638,8.2643266847144
"G3","G4 or G5",8485,7.4781715632629
"G4 or G5","End",2379,0
"G4 or G5","G1 or G2",111,4.44144144144144
"G4 or G5","G3",7571,4.10847783836821
"G4 or G5","G4 or G5",38313,3.10983962921947
"Start","G3",10187,0
"Start","G4 or G5",1299,0
