variant,cases,percentage,activities
"('Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Sepsis')",6,0.5,1
"('Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Sepsis')",5,0.41,1
"('Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Sepsis')",5,0.41,1
"('Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Sepsis')",5,0.41,1
"('Normal Temperature', 'High Temperature', 'Sepsis')",4,0.33,1
"('High Temperature', 'Normal Temperature', 'High Temperature', 'Sepsis')",4,0.33,1
"('High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Sepsis')",4,0.33,1
"('Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Sepsis')",4,0.33,1
"('Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Sepsis')",4,0.33,1
"('Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Normal Temperature', 'High Temperature', 'Sepsis')",4,0.33,1
